Title,Stars Number,Reviews Number,Price before discount and after,Description,Estimated Shipping Time,Manufacturer Sku,Gender,Colorway,Materials,URL
Air Jordans 1 Retro High OG ‘Black White’ 555088-168,Rated 5.00 out of 5,55,"378.00,189.00","This original colorway of the iconic Air Jordans 1 features a clean and simple black and white upper. As a “remastered” edition of the silhouette, the shoe features its original shape and “Air” branding on the tongue. The versatile colorway has become a staple of every Air Jordans 1 fan’s rotation.",3-15 Days After Order,555088 010,Mens,"BLACK,WHITE-BLACK",Leather,https://www.jordanusd.net/product/air-jordans-1-retro-high-og-black-white/
Air Jordans 1 Retro High CN8607-002,Rated 5.00 out of 5,27,"378.00,189.00","Air Jordans 1 High is arguably the most desirable sneaker collaboration of 2020. Produced in Italy in extremely limited quantities, first ever collaboration with Jordans Brand featured a multilayered release rollout that only stoked demand for one of the most sought after Jordans 1s in recent history. Employing a minimal appearance that parallels the original “White/Grey” Jordans 1 from 1985, variation features supple grey leather overlays on the forefoot, eyelets, collar, and heel. White leather dots the mid-panel and perforated toe. An embroidered monogram Swoosh appears on either side and an “Air” Wings logo can be found on the collar. A white rubber midsole and icy blue translucent outsole tie together the look of the understated  Air Jordans 1.Air Jordans 1 High was released on June 25, 2020.",3-15 Days After Order,,,,,https://www.jordanusd.net/product/dior-x-air-jordans-1/
Air Jordans 1 High Black Smoke Grey 555088-035,Rated 5.00 out of 5,33,"298.00,149.00","The Air Jordans 1 High “Shadow 2.0” is a May 2021 release that is inspired by an original colorway of Michael Jordans’s first signature shoe. As one could imagine, the “Shadow 2.0” is indeed influenced by the original “Shadow” makeup of the Air Jordans 1 from 1985. The updated look draws favorably from the first edition “Shadow,” though there are some distinct differences between the two models. On the “Shadow 2.0,” black leather appears on the mid-panel and on the perforated toe. The first “Shadow” featured grey leather on the toebox. Moreover, the “Shadow 2.0” dons grey leather on the forefoot and eyestay panel. The “OG” “Shadow” displayed black leather on those panels. Grey leather can be found on the collar, heel, and  A black “Wings” logo graces the collar and grey  ” on the tongue tag on the black nylon tongue. It should be noted that the grey leather panels found on the “Shadow 2.0” are lighter in color than the original grey leather on the first “Shadow.” Release date: May 15, 2021.",3-15 Days After Order,555088 035,Mens,BLACK/WHITE-LIGHT SMOKE GREY,,https://www.jordanusd.net/product/air-jordans-1-high-black-smoke-grey/
Air Jordans 1 High ‘Hyper Royal’ 555088-402,Rated 5.00 out of 5,52,"298.00,149.00","The Air Jordans 1 High “Hyper Royal” is a breezy colorway of Michael Jordans’s first signature shoe that was released by Jordans Brand for its Spring/Summer 2021 collection. Dressed in a color palette that jives with the warm tones of spring and summer, the “Hyper Royal” displays faded light blue synthetic nubuck overlays on the forefoot, eyelets, collar, and heel. White leather detailing can be found on the perforated toe and mid-panel. Elsewhere, Jordans Brand places a Light Smoke Grey leather   either side of the shoe and a white “Wings” logo on the aforementioned Hyper Royal collar overlay. Classic   detailing can be found on the navy tongue tag stitched onto the white nylon tongue. Additional design elements include a grey collar and liner and white shoelaces. Release date: April 17, 2021.",3-15 Days After Order,555088 402,Mens,HYPER ROYAL/LIGHT SMOKE GREY-W,,https://www.jordanusd.net/product/air-jordans-1-high-hyper-royal/
Air Jordans 1 High “UNC” AQ0818-148,Rated 5.00 out of 5,30,"230.00,165.00","For his third edition of the monumental  Air Jordans 1, Virgil Abloh focused on the “UNC” colorway of Michael Jordans’s first signature shoe. Released in June 2018, the Air Jordans 1 “UNC” features the recognizable white and Carolina blue leather upper. The colors are complemented by Abloh’s deconstructed aesthetic and signature details such as bright orange detailing and a red zip tie. Like the “Chicago” and all-white colorways before it, the Air Jordans 1 “UNC” was an instant hit that was coveted by sneaker connoisseurs around the globe.",3-15 Days After Order,AQ0818 148,Mens,WHITE/DARK POWDER BLUE-CONE,"Leather, Rubber",https://www.jordanusd.net/product/air-jordans-1-high-unc/
Air Jordans 1 High University Blue 555088-134,Rated 5.00 out of 5,20,"298.00,149.00","The Air Jordans 1 High “University Blue” is inspired by an original colorway of Michael Jordans’s first signature shoe. An early 2021 release by Jordans Brand, the “University Blue” Jordans 1 comes in the desirable high-top silhouette and recruits a mixture of materials and “UNC” flavored colors for an appealing design. Full-grain white leather appears on the mid-panel and perforated toe. University Blue nubuck leather overlays on the forefoot, eyelets, collar, and heel contrast the crisp white base. Jordans Brand adds a black leather Swoosh on either side and a black “Wings” logo to the collar. Additional details include black laces on a white nylon tongue, a light blue “Air” logo on the black nylon tongue tag, and supple black leather on the collar. Release date: March 6, 2021",3-15 Days After Order,,,,,https://www.jordanusd.net/product/air-jordans-1-high-university-blue/
Air Jordans 1 Retro High OG’Mocha’ 555088-105,Rated 5.00 out of 5,25,"350.00,175.00","The Air Jordans 1 GS “Dark Mocha” is the youth sizing of the neutral based colorway of Michael Jordans’s first signature shoe. The “Dark Mocha” colorway is undoubtedly inspired by Travis Scott’s hit Air Jordans 1 collection of 2019. Though unlike the Houston rapper’s collaboration, the “Dark Mocha” features smooth black leather detailing on the forefoot, eyelets, and toe cap. The mid-panel, collar, and perforated toe display a white leather construction. A black leather Swoosh dots the mid-panel and a black “Wings” logo is placed on the brown nubuck collar. The earth toned hue appears on the heel, as well. Finishing touches include a white nylon tongue, black laces, and black “Air” on the tongue tag. Release date: October 31, 2020.",3-15 Days After Order,575441 105,Youth,SAIL/DARK MOCHA-BLACK-BLACK,,https://www.jordanusd.net/product/travis-scott-x-air-jordans-1-retro-high-og-mocha/
Air Jordans 1 High Travis Scott CD4487-100,Rated 5.00 out of 5,34,"378.00,189.00","The Air Jordans 1 High OG is the limited edition collaboration from the rap superstar and Jordans Brand on the iconic silhouette that features a major twist. One look at the Air Jordans 1 and you’ll notice the backwards Swoosh across the upper, a first for the legendary silhouette. Travis Scott’s Air Jordans 1 also features a premium construction in Sail leather and Dark Mocha nubuck with black accents. The Jordans 1 is further modified with a padded nylon collar that has a hidden stash pocket. Each pair is completed with Scott’s “face” logo embossed on the heels and a “Cactus Jack” logo on the right insole. The  Air Jordans 1 High had a special release at the Grammy Awards on February 10, 2019 during Scott’s performance, and then received a wider, but still limited release on April 26, 2019.",3-15 Days After Order,,,,,https://www.jordanusd.net/product/air-jordans-1-high-travis-scott/
Air Jordans 1 Retro High OG “Chicago” 555088-101,Rated 5.00 out of 5,20,"298.00,149.00","Perhaps the most iconic sneaker of all-time, this original “Chicago” colorway is the cornerstone to any sneaker collection. Made famous in 1985 by Michael Jordans, the shoe has stood the test of time, becoming the most famous colorway of the Air Jordans 1. This 2015 release saw the Chicago colorway return to its most accurate construction since the first retro in 1994, complete with   branding on the tongue.",3-15 Days After Order,555088 101,Mens,WHITE/BLACK-VARSITY RED,"Leather, Rubber",https://www.jordanusd.net/product/travis-scott-x-air-jordans-1-high-chicago/
Air Jordans 1 High OG ‘Dark Mocha’ 555088-105,Rated 5.00 out of 5,32,"338.00,169.00","The Air Jordans 1 GS “Dark Mocha” is the youth sizing of the neutral based colorway of Michael Jordans’s first signature shoe. The “Dark Mocha” colorway is undoubtedly inspired by Travis Scott’s hit Air Jordans 1 collection of 2019. Though unlike the Houston rapper’s collaboration, the “Dark Mocha” features smooth black leather detailing on the forefoot, eyelets, and toe cap. The mid-panel, collar, and perforated toe display a white leather construction. A black leather Swoosh dots the mid-panel and a black “Wings” logo is placed on the brown nubuck collar. The earth toned hue appears on the heel, as well. Finishing touches include a white nylon tongue, black laces, and black “Air” on the tongue tag. Release date: October 31, 2020.",3-15 Days After Order,575441 105,Youth,SAIL/DARK MOCHA-BLACK-BLACK,,https://www.jordanusd.net/product/air-jordans-1-high-og-dark-mocha/
Air Jordans 1 High OG “UNC Patent Leather” CD0461-401,Rated 5.00 out of 5,25,"378.00,189.00","The women’s Air Jordans 1 High “UNC Patent Leather” is another appealing look for the women’s collection of Michael Jordans’s first signature shoe. The colorway is inspired by Jordans’s college career at the University of North Carolina, and the striking women’s Jordans 1 features a full patent leather build that shines in tones of Blue Chill, Obsidian, and white across the upper with more of the Carolina blue tone for the outsole. It also features the Air Jordans wings logo embossed onto the ankle for an even cleaner look to the glossy colorway. The women’s Air Jordans 1 High “UNC Patent Leather” released in February 2019.",3-15 Days After Order,CD0461 401,Womens,OBSIDIAN/BLUE CHILL-WHITE,,https://www.jordanusd.net/product/air-jordans-1-retro-high-unc-patent/
